date_de_tirage,boules_gagnantes_en_ordre_croissant,etoiles_gagnantes_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
29/04/2022,-10-11-20-36-37-,-3-7-,37,36,10,20,11,7,3
26/04/2022,-4-25-28-34-45-,-8-11-,25,4,28,34,45,11,8
22/04/2022,-6-11-21-35-36-,-1-9-,11,6,35,36,21,9,1
19/04/2022,-2-12-17-28-46-,-6-10-,28,46,2,17,12,10,6
15/04/2022,-6-24-30-32-48-,-5-6-,32,48,6,24,30,6,5
12/04/2022,-21-30-31-35-47-,-2-10-,30,47,35,31,21,10,2
08/04/2022,-1-15-16-38-45-,-4-11-,16,38,1,45,15,4,11
05/04/2022,-1-11-13-24-49-,-5-6-,13,1,24,11,49,5,6
01/04/2022,-2-7-21-31-45-,-4-10-,21,45,31,2,7,10,4
29/03/2022,-8-11-33-42-43-,-6-11-,43,33,11,8,42,11,6
25/03/2022,-6-10-24-27-29-,-5-12-,10,29,24,6,27,12,5
22/03/2022,-7-17-21-29-40-,-8-11-,7,29,17,40,21,8,11
18/03/2022,-1-9-14-17-43-,-6-12-,43,1,9,14,17,12,6
15/03/2022,-1-2-12-19-26-,-2-8-,2,26,19,12,1,8,2
11/03/2022,-12-19-22-23-48-,-2-6-,23,22,12,19,48,6,2
08/03/2022,-12-18-21-25-31-,-2-9-,18,12,31,25,21,9,2
04/03/2022,-6-20-40-42-43-,-10-12-,40,20,43,6,42,10,12
01/03/2022,-8-24-26-39-42-,-3-5-,26,24,42,39,8,5,3
25/02/2022,-10-13-24-30-42-,-1-5-,24,10,30,42,13,1,5
22/02/2022,-5-9-14-26-32-,-3-7-,26,32,14,5,9,7,3
18/02/2022,-25-38-41-43-50-,-6-10-,25,41,50,43,38,6,10
15/02/2022,-9-20-31-33-44-,-2-12-,33,20,31,9,44,12,2
11/02/2022,-13-18-38-42-45-,-7-11-,45,13,42,18,38,7,11
08/02/2022,-6-20-34-37-43-,-7-10-,43,34,20,6,37,7,10
04/02/2022,-3-25-38-43-49-,-3-7-,49,38,3,25,43,7,3
01/02/2022,-1-19-36-38-49-,-6-9-,49,36,1,19,38,9,6
28/01/2022,-10-25-29-34-45-,-9-10-,34,10,25,29,45,10,9
25/01/2022,-6-16-18-39-47-,-2-4-,16,6,47,18,39,2,4
21/01/2022,-5-14-35-36-39-,-7-12-,5,35,39,14,36,12,7
18/01/2022,-3-12-19-24-30-,-2-5-,12,30,24,3,19,5,2
14/01/2022,-6-17-25-31-46-,-9-12-,25,6,46,17,31,12,9
11/01/2022,-4-23-32-33-44-,-9-12-,33,23,44,32,4,12,9
07/01/2022,-2-14-37-44-50-,-7-11-,14,2,50,37,44,7,11
04/01/2022,-18-28-35-36-41-,-6-11-,28,41,18,35,36,6,11
31/12/2021,-7-22-25-43-49-,-6-7-,25,7,43,22,49,7,6
28/12/2021,-4-6-15-17-29-,-9-12-,4,29,15,17,6,9,12
24/12/2021,-2-26-28-34-41-,-5-10-,41,2,34,26,28,10,5
21/12/2021,-12-17-21-34-38-,-2-3-,34,38,17,12,21,2,3
17/12/2021,-1-2-15-30-35-,-2-7-,30,1,35,2,15,2,7
