date_de_tirage,combinaison_gagnante_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
2009-05-30,10-14-25-30-34+9,30,25,34,14,10,9
2009-06-01,18-24-26-35-47+1,18,26,47,24,35,1
2009-06-03,14-21-26-32-46+6,46,21,32,26,14,6
2009-06-06,13-15-32-33-46+10,32,46,13,33,15,10
2009-06-08,22-25-29-31-41+5,31,29,41,25,22,5
2009-06-10,27-42-45-48-49+7,45,42,27,49,48,7
2009-06-13,16-24-28-39-46+4,39,16,46,28,24,4
2009-06-15,11-21-40-41-49+4,49,11,41,21,40,4
2009-06-17,3-8-27-37-41+2,3,27,41,8,37,2
2009-06-20,21-26-27-33-49+7,26,27,49,21,33,7
2009-06-22,17-28-36-41-42+4,36,17,42,28,41,4
2009-06-24,4-16-17-21-22+1,17,21,22,16,4,1
2009-06-27,3-4-6-13-41+8,13,4,3,41,6,8
2009-06-29,9-10-28-35-43+8,35,43,9,28,10,8
2009-07-01,5-13-28-29-34+4,34,5,28,13,29,4
2009-07-04,4-8-27-39-43+3,39,4,8,43,27,3
2009-07-06,12-31-32-44-45+2,12,31,32,44,45,2
2009-07-08,4-5-6-10-16+3,16,4,10,6,5,3
2009-07-11,5-14-17-35-42+1,14,17,35,5,42,1
2009-07-13,2-18-20-26-34+1,26,2,20,34,18,1
2009-07-15,1-4-14-23-25+10,4,1,23,14,25,10
2009-07-18,9-14-26-34-44+9,44,14,26,34,9,9
2009-07-20,5-23-27-34-44+1,27,23,44,34,5,1
2009-07-22,17-24-28-35-45+6,24,35,45,28,17,6
2009-07-25,3-14-27-33-40+9,27,40,3,14,33,9
2009-07-27,7-13-18-47-48+4,18,47,7,13,48,4
2009-07-29,3-14-16-25-35+3,16,25,14,35,3,3
2009-08-01,10-18-22-44-45+6,44,10,18,45,22,6
2009-08-03,9-18-26-38-49+8,9,38,18,26,49,8
2009-08-05,10-20-29-40-43+7,40,10,29,20,43,7
2009-08-08,2-16-20-38-41+9,41,20,16,38,2,9
2009-08-10,2-5-22-24-31+6,5,22,31,2,24,6
2009-08-12,6-17-33-34-39+5,6,33,17,34,39,5
2009-08-15,1-24-27-32-41+9,1,41,32,24,27,9
2009-08-17,2-9-14-17-25+9,2,9,17,14,25,9
2009-08-19,7-28-33-35-42+10,35,42,7,33,28,10
2009-08-22,8-21-27-29-31+10,31,21,8,27,29,10
2009-08-24,11-18-22-28-33+2,22,18,33,28,11,2
2009-08-26,7-14-31-38-44+1,44,31,7,38,14,1
2009-08-29,7-19-23-27-34+7,34,7,27,23,19,7
2009-08-31,1-5-13-16-20+2,16,13,1,5,20,2
2009-09-02,5-6-12-15-17+1,17,5,12,6,15,1
2009-09-05,1-17-20-37-44+8,1,37,17,44,20,8
2009-09-07,4-8-21-31-39+2,8,21,4,31,39,2
2009-09-09,1-7-12-22-23+4,1,12,23,22,7,4
2009-09-12,4-7-11-29-41+4,41,11,4,29,7,4
2009-09-14,9-18-22-32-43+1,9,18,43,32,22,1
2009-09-16,7-21-25-30-40+1,40,7,21,25,30,1
2009-09-19,12-19-27-33-38+7,12,27,38,33,19,7
2009-09-21,3-4-7-38-46+2,3,4,38,46,7,2
2009-09-23,4-5-24-42-47+6,24,42,4,47,5,6
2009-09-26,2-21-25-37-43+9,2,37,43,21,25,9
2009-09-28,3-16-20-30-44+4,30,20,16,3,44,4
2009-09-30,2-5-33-35-40+4,33,35,40,5,2,4
2009-10-03,7-9-15-47-49+7,47,15,49,7,9,7
2009-10-05,11-12-20-21-32+4,21,12,20,11,32,4
2009-10-07,1-4-12-21-46+8,4,1,21,12,46,8
2009-10-10,1-3-16-23-38+3,3,38,1,23,16,3
2009-10-12,7-28-38-43-48+5,38,7,48,43,28,5
2009-10-14,6-24-35-36-42+2,6,35,36,42,24,2
2009-10-17,8-12-16-20-49+5,12,49,8,20,16,5
2009-10-19,3-4-6-11-31+1,4,31,11,3,6,1
2009-10-21,1-10-15-26-49+7,10,49,26,15,1,7
2009-10-24,15-27-28-38-39+10,39,28,15,38,27,10
2009-10-26,1-3-42-47-49+7,49,47,42,1,3,7
2009-10-28,7-8-11-30-37+3,8,11,7,37,30,3
2009-10-31,23-27-30-36-39+2,23,39,36,27,30,2
2009-11-02,9-17-23-34-40+9,17,34,23,40,9,9
2009-11-04,18-19-22-23-33+1,33,18,19,22,23,1
2009-11-07,1-3-13-18-41+1,1,41,13,3,18,1
