numero,occurrences
1,65
2,68
3,70
4,56
5,70
6,64
7,64
8,56
9,67
10,70
11,63
12,74
13,62
14,62
15,72
16,61
17,80
18,50
19,78
20,81
21,82
22,50
23,76
24,63
25,71
26,70
27,77
28,64
29,71
30,63
31,67
32,66
33,55
34,65
35,67
36,56
37,63
38,71
39,70
40,53
41,61
42,80
43,63
44,70
45,66
46,65
47,63
48,72
49,58
50,64
