date_de_tirage,boules_gagnantes_en_ordre_croissant,etoiles_gagnantes_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance_1,numero_chance_2
2017-06-30,-17-35-39-47-50-,-6-8-,35,50,39,17,47,6,8
2017-07-04,-10-22-25-37-49-,-5-8-,22,25,10,37,49,8,5
2017-07-07,-11-20-35-37-45-,-3-6-,45,37,20,35,11,3,6
2017-07-11,-14-22-26-42-50-,-8-10-,50,26,42,22,14,8,10
2017-07-14,-11-14-20-21-47-,-7-10-,21,14,20,47,11,10,7
2017-07-18,-1-25-27-41-45-,-5-7-,41,27,1,45,25,7,5
2017-07-21,-1-8-9-26-49-,-5-9-,8,1,26,49,9,9,5
2017-07-25,-12-14-43-44-48-,-2-11-,14,44,43,48,12,11,2
2017-07-28,-5-9-29-31-41-,-2-4-,41,9,31,5,29,4,2
2017-08-01,-14-21-24-29-30-,-8-10-,29,24,21,30,14,10,8
2017-08-04,-29-30-36-40-41-,-2-9-,29,30,41,40,36,9,2
2017-08-08,-15-25-26-40-41-,-4-5-,26,15,40,25,41,4,5
2017-08-11,-18-28-39-46-48-,-5-12-,39,48,28,46,18,12,5
2017-08-15,-10-14-30-35-46-,-4-10-,14,30,46,10,35,4,10
2017-08-18,-2-24-39-42-45-,-2-8-,39,42,24,45,2,2,8
2017-08-22,-3-10-12-17-27-,-3-5-,10,12,17,3,27,3,5
2017-08-25,-1-5-7-15-47-,-9-12-,15,7,1,47,5,9,12
2017-08-29,-4-12-15-32-38-,-1-5-,4,12,32,15,38,1,5
2017-09-01,-3-7-8-14-49-,-5-8-,8,7,3,14,49,5,8
2017-09-05,-6-9-18-28-29-,-1-9-,28,18,29,6,9,9,1
2017-09-08,-9-24-42-47-49-,-1-5-,42,47,24,49,9,1,5
2017-09-12,-10-17-27-29-35-,-4-11-,35,17,29,10,27,4,11
2017-09-15,-13-18-37-44-49-,-9-12-,44,49,13,18,37,9,12
